,post,class
21145,What happens when you roast the quiet Asian kid? Your pet goes missing.,implicit_hate
21207,"Yeah, child labor IS illegal. Unless you mean ""women""? @plaster_cole Girls should not be allowed to be commentators for football games",implicit_hate
7497," rt al franken admits guilt after photographic evidence of his abuse surfaces.mitch :  "" let's investigate . "" "" in alabama  zero evidence  allegations 100 % rejected.mitch : "" "" moore must quit immediately or be expelled . "" "" """,not_hate
5013,german official : syria crisis won't change berlin's position on russia #jpost #breakingnews,not_hate
1479,keep up the great work . yo guys are literally the only white race advocates that physically do stuff .,implicit_hate
2414,little snow angels rt : mt : fathers are an imperative component of a ( cont ),not_hate
1147,: true  at the time i had not completed my research and you would have won . now i am ready .,not_hate
18457," oh you don't hate yourself  you hate the  "" lower "" "" white people who don't hold your establis """,not_hate
5232,new plans for rebuilding prora  the large hitler-era vacation resort #swrm via,implicit_hate
17249,somalians are terrifying ... i've travelled alot of places  met alot of people  and all somalians are violent and quite frankly insane .,explicit_hate
12423,i'm pretty sure abortion was legalized more recently  like in the 1970s,not_hate
5676," rt : . stupid screed . jihad terror isn't a race .  "" white "" "" jihadis as evil """,implicit_hate
21034,whats a gay guys favorite restaurant? five guys,implicit_hate
20796,reform yes. appeals no! illegal aliens have no rights!,implicit_hate
1469,jesus u hyper sensitive lib wackos now what print school books showing blacks owned whites ? bring golden calf ahole,explicit_hate
2022,. u mad dude ? don't be mad on twitter .,not_hate
7860,if the governors of texas  louisiana  kentucky and alabama weren't cucks  they'd get jeff sessions to outlaw antifa .,not_hate
10556,hero of the white race : arthur jensen  passes away . #news #race #aryan #psychology,not_hate
10166,yal know yal cowards don't even show your face i don't want to even know what a coward looks like #blackchurchesburning,not_hate
17115,misogyny + racism at its epoch . fyi  6 out of 10 sexual predators are white males . the heart of american terrorism = white nationalism .,implicit_hate
19637,animal savages will behave like savage animals!,explicit_hate
8498,: great motivational article frm & a solid battle plan to #unitetheright,not_hate
366,cuckservatives : ben sasse calls out jeff flake,explicit_hate
5911,did anybody hear if shooter was antifa,not_hate
9895,put dana white back on,not_hate
1253,can i join ? im part white :),not_hate
4209,it was a night that millions of people didn't watch too because we don't share the same culture,implicit_hate
1739,this happens with every outrage shooting event and public is not given full details .. just juicy media footage to stir emotion,not_hate
21122,Wanna hear a joke? Black Lives Matter,implicit_hate
8479,35 million immigrants in 10 years isn't enough for sen . #immigration,not_hate
15501,the sesquisentennial of the war for southern independence as symbolic of the fallen state of the south : excell ...,not_hate
19654,cheese eating surrender monkeys who know nothing about foreign policy,implicit_hate
18964,the real terrorists are in the white house .,not_hate
18301,u agree govt isn't always right but anything trump does u not going to like,not_hate
4434,the african dream is a chance to move to america or europe to live under white privilege / civilization,implicit_hate
10932,there are several people  at least  who were h,not_hate
7658,antifa aren't violent  deranged pyschos and terrorists . nope !,not_hate
3858,. i hate islamists . i hate jihadis . i hate terrorists . i do not hate muslims .,implicit_hate
12387,i always like educating the cuckservatives on how incredibly racist the founders were . makes them rage .,not_hate
18966,the selma confederates : ' i want to protect  defend and preserve my white race ' video,not_hate
11808,the comparison of white supremacists ( whites are master race ) to black lives matter ( stop murdering black people ) is ridiculous .,not_hate
13376,in many societies devils & evil spirits are white ; ppl w / white skin were seen as living white devils i . e treatment of albinos in africa,not_hate
3465,racist ! ! !,not_hate
10452,bone fragments on the surface at treblinka ? : this is my first postim new to posting  but i've been reading p ...,not_hate
5949,fixation of jewish ppl as cause is just like when sjw blame white race 4 all harm,implicit_hate
15480,the genetic basis of intelligence is unrivaled by science and proves that low black iq is hereditary #thingsthatpanicprogressives,explicit_hate
11247,18 / breaking news : individuals have ethnic and cultural identities and loyalties which they find meaningful,not_hate
17528," . archbishop chaput threats to #religiousfreedom  "" immediate  serious  and real "" "" """,not_hate
5073,i got limited room because it's twitter . so  white  right-winging christians get no hate ? #tcot,not_hate
10387,: why marriage matters - alliance defending freedom #scotus #doma #prop8 #marriagematters,not_hate
21247,"how many times can you screw a blonde ? i do n't know , how much time you got ?",implicit_hate
16848,britains extremist bloggers helping the alt-right go global  report finds,not_hate
19508,that is false. 2nd generation immigrants from the 3rd world is still shitty.,implicit_hate
18317,via yemen : al-qaeda jihadists take over military base  hold high-ranking officers captive #tcot,not_hate
9823,nick searcy is not a man . he is a cuck raising some black man's spawn .,explicit_hate
18495," their prime market is jews - lol you think  "" anti-semites "" "" are generating them revenue ? clicks maybe  but not revenue ( donations  etc . ) """,implicit_hate
9920,rubio the wind-up doll has done a good job memorizing his lines . he'll get a gold star from his corporate groomers !,not_hate
9280,"  "" race problem "" "" = white problem.diversity is the final solution to the white problem.diversity means #chasingdownwhites . """,implicit_hate
1340,google warns that court order removing muhammad video will create hollywood chaos,not_hate
811,uplift of the day #expeltheinvaders #europeforeuropeans,implicit_hate
20434,deport those little turds!!,implicit_hate
19879,"yeah this isn't portland, that kind of behavior here would get them on the wrong side of a slaughter",implicit_hate
18736,i'd never expect missouri or the rest of the border south to vote any differently than the rest of the,not_hate
6817,cat fight ! racist trump vs . racist fair .,not_hate
9781,lol ~ english-imposter jew-sanders is commie hypocrite lives in lily-white state of vermont where [ white lives matter ],explicit_hate
9289," and then one of your people drove a car into a crowd of people . eff off with your  "" ambushing "" "" talk  white supremacists are the problem here . """,not_hate
19825,"so tell us, when is this god going to show up and tell you how to have sex? or how to define it",implicit_hate
17683,a #bbc report : how the world loved the - #swastika until #hitler stole,not_hate
17228,say you had an enemy who was moderately clever and totally shameless ; wouldn't they tell you that their enemy was your enemy ? #maga,not_hate
387,exactly . if i were a leftist / antifa i would be trying to fracture the rw ' street ' coal,not_hate
10157,why cant you clean the yamuna ? i asked an engineer of the delhi jal board ( djb ) . a complex issue  sir ... all ...,not_hate
9799,modern definition of racist : any white person who doesn't hate other white people enough to please leftists and non-whites .,implicit_hate
14870," then again we would have to listen to the  "" fake from every angle from the bs msm ! "" "" i like it this way  beside that one  these are today too """,not_hate
3171,eyes wide shut . wake up people ! ! #truth #911 #war #peace,not_hate
4426,thanks for the great post chelsea ! be sure to follow for #prolife updates from .,not_hate
12371,hi robert  could you explain why obama is threatened and mocked by isis  even though he seems to be ' one of them ' ?,implicit_hate
12791,u guys wanna go out to eat at kfc with me ? then we could play cod,not_hate
15543,trump can go cuck himself,not_hate
3900,: texas is for trump ! even ex cruz supporters r voting trump 2a and supreme court justices.biggest el,not_hate
1593,pastors should not espouse political opinions from pulpit.limits & profanes ministry  takes focus off word of god .,not_hate
14606,the un needs to realize there is now an american in the white house .,not_hate
14559,sure . it's a big conspiracy . of course it is .,not_hate
4312,obama would rather call christians bigots and cops racist before he calls muslims terrorists !,implicit_hate
8184,they're not fighting for us  that's for sure .,not_hate
7829,i had should have placed a bet that it would be a jew,implicit_hate
14903,* 56 % . in 1960 the us was over 90 % white .,not_hate
65,one of the questions never asked : if africans had won any of their repeated wars for european conquest  would we still be slaves ? of course .,explicit_hate
1327,frankly most of modi minsters are burden to modiji himself .,not_hate
13473,multicultism is anti-white hatred . we built this country . you will not replace us .,implicit_hate
10979,via : canada-based muslim charged with jihad plots to kill americans and support jihad terr ... #tcot,not_hate
15913,as do the younger . what generation makes up antifa ? the most thotish ? most viruently a,not_hate
6188,no one is for abortion . we are for personal choice . stop lying .,not_hate
18305,uk : racist black man punches pregnant white girl in stomach as onlookers watch via,implicit_hate
20391,"throw pc out the window, & call a spade, a spade"""" :// must>'know thy enemy'!!!",implicit_hate
10242," i'm so tired of msm created  "" optics "" "" we need to push fa """,not_hate
11726,poor whites were enslaved by rich europeans . white criminals were shipped to other countries so america,not_hate
16436,tip of the iceberg . media rarely ever covers entrenched culture of child rape among hollywood elites .,not_hate
16712,. race is more than skin color . iq  voting  welfare  crime  aggression . open a biology book .,implicit_hate
4855,alt lite has less calories but they taste the same .,not_hate
9435,: jews outraged over diversity is white genocide banner in australia,explicit_hate
19430,yes! heaven has walls a gate & firm immigration laws. you don't get in unless your background allows! u.s.a ='s earth as it is in heaven,implicit_hate
15236,indian television viewers congratulate arnab for being the topper in wall of shame of #newstraders,not_hate
6383,trump  white nationalists  the media via #trump2016,not_hate
12404,i hope that obnoxious chinese guy isn't part white .,implicit_hate
12551,my new year's eve prediction was that milo would go down like the hindenburg in an inevitable scandal,not_hate
11770,so jz can separate ' white supremest ' & object only to ',not_hate
17821,drephther a blakkka skin head on da west kost sampl fred wesley,not_hate
14360,just add some dumpster fires and it looks like antifa,not_hate
8422," rt . :  "" voters on obamas #immigration plans : drop dead "" "" #noamnesty """,implicit_hate
18803,list of kkk members .,not_hate
19732,"that seems a little harsh elder. you know wackos kill people. oh, wait a minute, i guess you're right!!",implicit_hate
1257,chicago showers locker room policy with criticism - i would never let my daughters be subject to this . :,not_hate
5543,who called u a racist ? let me @ em . u know i'm called a racist everyday.they don't see that i despise his white half also . luv ya my friend,implicit_hate
11844,there's always a jew in the woodpile ...,implicit_hate
1272,conversion to white advocacy : the social nexus :,not_hate
13285,ha ha ha . why blame modi for the action of cbi raiding one of your officer . let cbi do its work,not_hate
11765,so am i and i am not a white supremacist nor do i support the hate they believe in . we are americans .,not_hate
9196,white house worried about syria border  but not us .,not_hate
13611,splcs mark potok : our aim in life is to destroy these groups  to completely destroy them . #splcexposed,implicit_hate
6234,pm greets the people of china  on their national day,not_hate
19641,"as if the wall going to stop illegal aliens like , great wall of china stopped mongols",implicit_hate
16580,you guys are going to sticky an explanation for the alt-right on your site for the inevitable flood  right ?,not_hate
12247,are you black or white ?,not_hate
14667,voted to avoid pointless wars and third world immigration . got pointless wars and more third world immigration .,implicit_hate
5813,adolf hitler on the importance of racial preservation #swrm #hitler #racialpreservation via,not_hate
15884,amnesty with welfare allows corporations to underpay workers who get subsidies from the taxpayers .,not_hate
2983,: new black panther's white genocide project : ' if they are white  kill em all ' ( video ) via,implicit_hate
21166,What does a black woman receive when she has an abortion? A thank you letter from welfare.,implicit_hate
13209,cowards wear hoods heroes wear masks #opkkk #anonymous #anonfamily,not_hate
21397,I wouldn't call myself a feminist anymore. I think I'm a realist now. I think maybe we're in denial and that men and women aren't necessarily capable of the same things. Maybe women need to make some sacrifices.,implicit_hate
3599,uk : 70 muslim terrorists are plotting attacks in the country,not_hate
13237,exactly . i mean  did hunter vote for this ?,not_hate
4442,the flight from white,not_hate
7611,: what do white liberals like eraserhead think that their assault on white christians will accomplish ? its a,not_hate
19435,"the black dude looks cool, nonchalant and shit; overweight white dad dude not so much",implicit_hate
1348,hate  hate  hate this is what divides islam  catholic  jewish  black  white  yellow  girls  boys  just words sad,not_hate
14946,: telling : hillary clinton won't spell out position on late-term abortion -,not_hate
7811,how i talk to my kids about white supremacists via,not_hate
20596,why do we have an immigration policy? should just let them have a free for all and all can pay!,implicit_hate
10439,because it offends leftist shitlib sensibilities  white people,explicit_hate
19025,we white house now,not_hate
8195,time for your babies to die now : black woman caught abusing white infant via,explicit_hate
585,memorial day weekend bbq + cushman's wedding,not_hate
18475," rt :  "" we will not back down from defending the religious liberty of those in the military . "" "" """,not_hate
11394,come to my neighborhood muslim faggots ..,explicit_hate
13430,learn from england a once white country  60 years ago 100 % white now white english are the minority 60 yrs ! !,implicit_hate
6828,coming to america and worse ! isis flag over the white house . thanks dumbocrats !,not_hate
4767,#irish slave trade . #slavery is always wrong . #history,not_hate
14878," yeah  if any white wanted to get in then even the  "" white "" "" laura loomer would . """,not_hate
7001,immigrants like her or me  legal and illegals are entrepreneur just saying,not_hate
6475,why the schadenfreude ? why not be neutral since milo helped the altright with his positive piece on the movement in breitbart,not_hate
13309,how anti-white rhetoric is fueling white nationalism : via,not_hate
3142,do you not exist ? if you dont like it move  start having white babies or start to pry for spontaneous mass suicide of all the people you hate,not_hate
1314,fair is inherently racist and the splc declares it a hate group . here's their history from wikipedia :,not_hate
10637,illegal aliens rewarded with government appointments | the realist report,not_hate
18101,ok so here goes . criticise islam = racist .,not_hate
7794,he's establishment to paid to spew bs and talkin points that pit common people vs . common people  were tired of it,not_hate
154," rt black people can't be racist  "" : ohio man pushes white jogger into traffic because he "" "" hates whites "" "" via """,implicit_hate
5101,id more likely to believe her claim if it happened say during his first election run,not_hate
6775,at least the fires still lit there's hope . i wish us white had our own homeland achieved peacefully but achieved at all is a +,implicit_hate
21257,"a black guy goes to a doctor 's office to get a vasectomy . he shows up in a limo wearing a tuxedo . when it 's his turn , the doctor looks at him and says , "" i 've seen a lot of things , but i 've never seen a guy coming in all dressed up like that ! "" and the black guy says , "" well , if i 'm gon na be im - po - tent , i 'm gon na look im - po - tent ! """,implicit_hate
6585," rt ' holocaust ' debate / comments / news peter winter on the auschwitz i  "" gas chamber "" "" : peter winter has posted ... """,not_hate
13579,romney ! ! ! what do you say ? where are you now ? hiding under the beth ? speak out just you did against roy moore . mccain ! ! ! are you silent today ? where is your voice of outrage ? or are you in lindsey graham senatorial club enjoying a drink ? be fair you idiots ! bunch of hypocrites !,not_hate
5487,what does this have to do w white supremacy ? id b horribly ashamed of any children that were racist,implicit_hate
11390,christianity isn't supposed to cuck out for babylonian doctrines . there are many christians in the ..,not_hate
16501,what ? that is white ? i said #whitelivesmatter too,implicit_hate
13782,white identity ( 344 ) author : jared taylorsupport and purchase through,not_hate
1368,honestly ? women are attracted to successful  good looking men . period . attempting to appeal to women is,not_hate
15000,anti-semitism alive and well in america  mostly from the right wing whites who pretend to be republican .,implicit_hate
3185,frc's cathy ruse to testify before congress at 4pm et in support of ' no taxpayer funding of abortion act ' #prolife #tcot,not_hate
8480,40 people results in a task force ? antifa cause the violence & it's peaceful when they don't show up .,not_hate
17079,keep texas strong and safe,not_hate
10511,flawed individuals perhaps  like all of us  but people who were prepared to ri,not_hate
15283,linking the cops to the rally is lame . paul ryan supports globalization and white genoci,implicit_hate
2702,was the driver a jew taking umbrage at the annual muslim ' kill all jews ' hate march through london e,explicit_hate
13807,why are small  unfunded outlets like ar breaking these stories ? why not lavishly funded heritage foundation  national review or breitbart ?,not_hate
6072,im tired of eating human flesh : south african cops probe cannibalism #swrm #animals via,not_hate
8290,white people !,not_hate
1655,so you hate just about every non white country then,not_hate
10677,joined kkk at 187k ! ! !,not_hate
15320,nearly .. america was a white european country ... the fact you are ignorant of this fact is odd ...,implicit_hate
6043,i was an obama supporter when he first took office  but it didn't take long to see the real obama . he just wasn't good for america .,not_hate
1809,which is great optics for the right . nothing negative no bad signs . no violence . and yet,not_hate
731,that's your opinion . others disagree . you do have the freedom to not listen  as do i .,not_hate
20983,"Everyone is so politically correct these days... You can't even say ""black paint!"" You have to say ""tyrone can you paint that wall please?""",implicit_hate
1687,that too . i never said these people were either sane or,not_hate
9511,because bannon thinks u r only american if u r white,not_hate
14403,mohammed was a jew killer ! rt #stopislam #billwarnerphd #politicalislam #cspi #bansharia,explicit_hate
19994,"yea!!! because everyone, good and bad, wants to get in free and illegal!!!!",implicit_hate
17078,just who do you think hunter wallace is ?,not_hate
18112,pl display indian breed of dogs  they look better than john dayal,not_hate
1250,buttttttt it's cause and effect muhhhhhh white supremacy,not_hate
13614,ston poet - racist crackers,explicit_hate
9241,ya right because u are taught to hate people & even kill them ! according to jihad !,implicit_hate
17246,so why didn't you oppose the saudi hate preacher who wants kill you too,not_hate
15671,you can appeal to the sensibilities of white people better if you're not covered in sw,not_hate
15208,i'll be sure to tear down any i see . :),not_hate
19752,"when which money, fucking stupid unless, you ask a loan. to your boyfriend vladimir putin.",implicit_hate
11521,hindus don't have any issues with white race  as aryans we are closer to nordic races .,not_hate
9709,identity evropa is a white supremacy group . try again genius .,not_hate
11719,pil filed asking govt to constitute sit to investigate mysterious deaths of 9 indian nuclear scientists over past 3y,not_hate
11739,remember how i said we aren't asking ? this will be a white ethnostate in one form or another . unless you can kill us to the last man this idea will persist until it is completed .,not_hate
14306,iranians aren't white  amren .,not_hate
12504,life does not forgive weakness ! - adolf hitler #swrm via,not_hate
6429,white  the new black,implicit_hate
7021,is there black identity ?,not_hate
3945,and the sup . ct . said their vile behavior was protected speech,not_hate
21415,"After you strip off his makeup and clothes, biologically he's still a man"".""",implicit_hate
19318,"we are not feeding our own, ethnically diverse children. it's arrogant to pretend we can help others while kids go hungry.",implicit_hate
3754,"  "" jewish "" "" bolsheviks are a clever bunch . "" "" zionists "" "" . "" "" neo cons "" "" . they own our media . """,implicit_hate
20590,take down the ((( ))) now.,implicit_hate
8687,fact check : around the 1950s  triumphant globalists decided that america was based on a proposition  not white identity,not_hate
3421,of on cultural libertarian / alt-right split : #altright #newright,not_hate
8151,the kkk had its heyday  but now its largely a figment of the southern poverty law centers imagination .,not_hate
7548,- i am serious . your thoughts are that of the media . mine are different .,not_hate
19298,"instead of the brain, his beard grew this is a norm for muslim"""" thinkers",implicit_hate
8441," thank god man . massive respect for you - to quote voltaire  "" it is dangerous to be right on matters in which the established authority is wrong . "" "" glad to have you on the team brother  god bless """,not_hate
20568,let the dogs out,implicit_hate
4382,seemed like more than 15.for spencer the value is in attracting curious people who will watch it online.his audio came out fine .,not_hate
3209,guess saudi arabia is still running the dnc . democrats in total disarrray . good for us trump 8 years .,implicit_hate
11843,there is such a thing as white people . these people behave and live in a certain way . that is white culture .,not_hate
1216,because christian = white and we must support the oppressed poc instead .,not_hate
21446,The Jews use to laugh They thought it was just a joke They're not laughing now  -Adolf Hitler,implicit_hate
1736,they're pure evil .,not_hate
13276,good psych-ops  hunter ! next time  you should offer them 12 months and a gym membership,not_hate
9143,uk home office trying to censor report accusing government of allowing muslim-only zones,not_hate
19390,"race-mixing new york mayor grants benefits card to 500,000 illegal non-white invaders via",implicit_hate
8747,how dare white people want to exist as a race ! that is racism unless it's a non-white race wanting to think tribally ! those bigots !,implicit_hate
7063,kinda how the avg white male in america has felt the last 25yrs,not_hate
2424,micah johnson the dallas police killer specifically targeted white cops so why isn't obama giving us a lecture on how racist he was ? hmmm !,not_hate
2215,erick erickson should invite rachel dolezal or caitlyn jenner to speak at redstate #cuckservative,not_hate
18035,massive white pills dropping everywhere . even watching congress fail is a white pill for the alt-right .,not_hate
10425,are there really white people who still live in atlanta ?,not_hate
21254,what 's the difference between a black man and a lawn decoration ? a footstool and some rope .,implicit_hate
12128,#kukluxklan forever !,explicit_hate
7294,this is only the beginning  believe me - whitey is done being pushed around by marxist / anarchist / leftist anti-white scum  time for pushback !,implicit_hate
856,white americans least likely to race mix via,not_hate
8068,right  but without the alt-right as a banner ( sort of ) how would something as niche get recognition in the us ? big country  not like the uk .,not_hate
2777,white supremacists are a bigger threat to the us than radical islam,not_hate
9866,pagan traditions were european too . merry yule  happy solstice  felix saturnalia . only when the roman emperor constantine replaced a roman festival with a christian holiday  but kept the vacation days the same  was christmas pinned to december 25th . #westerncivilization,not_hate
2106,american white for ever ... usa,implicit_hate
4617,would a white ethnic state make degeneracy a citizen test for admission ?,implicit_hate
18406,you can bank on major university cities  like columbia  mo  bloomington  in  and charlottesville  va to be more or less marxist .,not_hate
2008,#unitetheright press conference,not_hate
6554," abc news video :  "" young and racist "" "" - white separatist movement's rising star | read more : """,not_hate
12586,number 5 addition : unless they're black  then call them a twitter bot or say they hate themselves .,implicit_hate
19248,"the biological differences between the races are obvious to anyone with a working set of eyes. crime stats, inventions, cultu",implicit_hate
18537,: #war on drugs ? see what the american #nazi party has to say about it : #politics #news #hitler,not_hate
13969,#religiousfreedom can't have too many champions . stand with : #rfra,not_hate
6049,i'm an indian aryan and i wholeheartedly support the movement for preserving the aryan race and its people .,not_hate
7718,dark whites,not_hate
11502,had delhi not voted for & his party by now he would hv been in jail on charges of getting foreign funds from isi for anarchy,implicit_hate
4965,do i have to go dig up the lts video where he says sn is for white people ?,not_hate
14251,i hope the numbers are down for the harrisburg rally . white house needs a wake up call . actually  lets #boycottharrisburg,not_hate
4464,the statues of old white guys are killing people  run for your lives !,not_hate
21474,REMINDER: femoids would rather fuck ABUSIVE CHADS than an incel But don't forget that your personality is the problem.,implicit_hate
4165,i'm white  and would b proud to call u brother elder .,not_hate
3876,: awesome : london imam unable to refute robert spencer's claims about koran,not_hate
11121,"  "" there was a study "" "" [ no link ! ] ... i'd like to see this peer-reviewed "" "" study "" "" you're referencing . it's prob . some fat white dude's blog ... """,not_hate
13043,' holocaust ' debate / comments / news poll : 60 % no longer trust the mainstream media : it's difficult to know ...,not_hate
5358,straight talk for white men,not_hate
12911,yes white people in general are the new jews for the new kkk / antifa .,implicit_hate
12802,via : spain : muslims break into church  spray allah on wall  destroy crucifix #tcot,not_hate
16810,are you an ex gay ?,not_hate
15840,: media attack trump  insist it was necessary to kill hundreds of thousands of southerners via,not_hate
18126,race traitor ? how do you know this person is white ?,not_hate
1214,bachmann : will use loophole to pass immigration in the house via,implicit_hate
13173,bishop harry jackson at i pledge event is talking about defending marriage .,not_hate
8425," rt : syria : muslim cleric gleefully smashes statue of virgin mary to shouts of  "" allahu akbar "" "" """,not_hate
16313,show your support for defund planned parenthood  add a #twibbon now ! #fldefundpp #defundpp,not_hate
959,"  "" race is a social construct "" "" then why do u intellectually disabled socialists moan there are "" "" too many white people "" "" in events etc """,not_hate
3139,do we want a govt w / the power to force us to hold certain events in our own homes against our will or be punished ?,not_hate
1646,so guns don't kill  people kill ... guns ok . abortions don't kill  people kill ... abortions not ok ? hypocrite much ?,not_hate
9396,. democrats like for their illegals to kill rich white people . democrats hate rich white people .,explicit_hate
20816,"I unironically believe an ugly, ungrateful barren cunt like Sarah Jeong should be harassed and bullied until she cracks under pressure. She has preemptively blocked half of the Internet to protect her ego already. Keep it coming.",explicit_hate
5058,i am part of white america,implicit_hate
2166,canada : man jailed for no more muslims graffiti,not_hate
393,fake news for sure . face the reality ! open your eyes . you cannot change the past .,not_hate
11758,secular muslim women take evil shariah based muslim personal law to kafir indian,implicit_hate
18890,quentin tarantino unveils new anti-white race war slasher movie ! read more : via,not_hate
6197,not at all unless you hate his white half . lol,not_hate
1235,britain : 16 year old white girl kills herself to avoid being called racist | read more : via,not_hate
2261,have you listened to our radio show ? help the cause by spreading the link : #education #wpww #politics #activism,not_hate
3064,babies feel pain after the are born but republicans want to get rid of their healthcare . babies with medical conditions will die .,not_hate
17955,if you racist think . bad cops can legally murder americans . stand w / us on past  present  future bad cops criminally liable,not_hate
3439,overpopulation will eventually produce misery for these people once we cant take care of them . sterilization in exchange for food perhaps ?,implicit_hate
15245,islamophobia ? what do these people expect when they kill us and fly airplanes into our buildings ?,implicit_hate
18210,the ' white squatter camps ' [ concentration camps ] of south africa #maga #america,not_hate
1381,i blame this anti-white violence on jews ( like tim wise ) . they encourage this .,explicit_hate
4781,. on #periscope : the cuckturians assaulting white nationalists : the latest,implicit_hate
6421,what's sadder - being jack hunter or being jack hunter's dad ?,not_hate
2597,thats y races should stay w / own origin however some pl will say ura racist  look at chinese folks 4 ex,implicit_hate
3633,what is ' it ' that white europeans have no right to ? are you ok ?,not_hate
13407,it's not racism  it's nationalism  you sound stupid when you say racist  because being mexican isn't their race,not_hate
4003,but now everyone thinks the alt-right supports nazis  and with videos of r . spencer saying,not_hate
10694,lmao fat feminists ghost tweet anti-white vitriol from beyond the grave,implicit_hate
20259,yes - deport him!!,implicit_hate
12235,another anti-white hate crime by a muslim .,implicit_hate
15174,how can one be libertarian and leftist ?,not_hate
17222,rn the average white person is taught we were always the oppressor.we have a right to learn about the extraordinary achievements of our race,implicit_hate
6468,why are we always told we should be more tolerant of islam ? why dont we ever hear that islam needs t,implicit_hate
3660,white nationalist alt-right celebrates a banner month via,not_hate
11223,#tweetni proud white women speak out against white genocide ( video ) via,not_hate
4848,all whites must unite and stand strong  it's about time . get off your knees white man and white woman ! !,implicit_hate
14439,not to pry  but  are all of schlapp's five kids white ?,not_hate
13846,you have lost track of your own point . european does not encompass an identity . be specific.celebrate yr culture but let others live too .,not_hate
20343,deport the bums,implicit_hate
2415,live : advani keen to become ls speaker ; rajnath too may join modi govt,not_hate
5007,from wide-eyed liberal to race realist - american renaissance via thanks,implicit_hate
9674,i guess white lives dont matter if they kill themselves with opioids and heroine,implicit_hate
16133,if there was a group that was called white lives matter and it was a group that had the same wants as black lives matter as a white person i would be ashamed  i would feel racist just because i was white .. blm is just people who pretend that everyone else is racist but them ..,explicit_hate
5075,i know i'm white  will look out for the other whites  will do what i can to help . i produced 2 white children that will soon reproduce more white children .,implicit_hate
19118,: when a jackal's time of death arrives it races towards the city,implicit_hate
20435,"yes, e-verify, penalties for illegals employment, seizure&forfeiture for housing illegals,no welfare, would result in voluntary deportation.",implicit_hate
16754,: via egypt : brotherhood tries to disrupt presidential elections  so far 20 arrested #,not_hate
9938,skin color is an example of a racial difference . what else should christians believe ? geocentrism ?,not_hate
3920,abe lincoln  white nationalist . swell guy .,not_hate
13933," the cucks pledge to keep  "" fighting this battle "" "" .. they always say that  and they always lose . over and over again . """,not_hate
14063,and next time  add a little color to your white nationalist propaganda .,not_hate
16970,hey guys anyway i can join up ? i follow orders really well . just ask anybody  no one does #uncletom like me !,implicit_hate
11682,nice evaluation elder / so sad people wont turn to the lord / stop the sin / its whats causing the deaths,not_hate
1715,the republican party is not pro white . people need to shed themselves of that delusion and build a white party !,implicit_hate
881,white revolution is the only solution,implicit_hate
2598,the #nhdebate - just a charade ... #politics #news #newhampshire #nhprimary,not_hate
16220,more white supremacist terror influenced by hate speech cesspools,not_hate
7912,it's true . where do black people live with the highest white admixture ? in the cities .,not_hate
20617,"or yknow, just not take any side in the sectarian conflict and let them blow each other up. but we can",implicit_hate
15035,blacks who kill other blacks get prison sentences suspect white supremacist who kill blacks get a pay raise,not_hate
12829,well  they could let them creep in like the illegals from so . of border !,implicit_hate
772,theres a few white people too,not_hate
12545,muslim refugees  thats what happened . dirty pigs ..,implicit_hate
5188,lie . do you trust msm and hrc ? alt-right is all races / groups  pro-america  exposes liars .,implicit_hate
12365,he'd tell you the same today . noticing adverse events involving black people is racist .,implicit_hate
1098,1 ) white nationalists have killed more people than muslims since 9/11,not_hate
5791,: obama finally showing his muslim roots,explicit_hate
14587,the fact you used the term black supremacists to describe blacks speaking out against white supremacy shows you have been brainwashed by white supremacists propaganda to begin with,not_hate
11323,anti-white shootings in nyc ?,implicit_hate
18254,then blm will be black with a sprinkling of jews and retarded white people  mostly queers and transgender freaks !,explicit_hate
10116,when are you and going to partner with to stand against anti-white hate & bullying ? love is love .,implicit_hate
19095,you are spinning like a top after i destroyed your argument . its both only when attacked,not_hate
7112,no one called anyone racist woman at store tried to sell me a cat calendar i said i don't like cats she called me a racist think she was jk,not_hate
16482,we must stop #planetisrael . the nonwhite hordes helping the #jew do not know they are to die as well only #jews will allowed on earth,explicit_hate
4075,gregory hood says what should really frighten lefties is not the nationalist shift at the rnc  but what comes next,not_hate
1342,great ! you can't support the naacp and cbc yet deny white people the right to organize .,not_hate
18081,no religion says to kill all non believers . i hate them !,not_hate
16254,not sure i agree . media tends to see apologies of any kind as weakness . blood in the water .,not_hate
5220,music : a potentially powerful tool . #workingclass #freedom #race #14words #hitler,not_hate
10204,"  "" : racist attacks on white dutch people by mobs of muslim immigrants continue ( video ) via "" "" """,not_hate
16233,new terror groups more networked  advance : m k narayanan,not_hate
7100,nazism & white supremacy are not at all incompatible with jihad terror : you're in denial .,implicit_hate
20282,"pathway to citizenship"""" = amnesty. rewards lawbreaking, encourages more, unfair to those who play by the rules",implicit_hate
282,an anti-immigration group is attacking an anti-racism group bc ... ? oh  right  you're actually just a #racist group & ok w / white immigrants .,not_hate
12029,"  "" great "" "" ? no . but i do believe that he will make it better . destroying ( ( ( conservatism ) ) ) is one part of that . not the only part . """,not_hate
11778,sorry for sperging out . clearly i was wrong in thinking that twitter was a tool for people to dissemina,not_hate
10094,well there are way more white people in this country  and what happens to cops who kill white people ? do they get off ?,not_hate
10165,wwii asia / pacific theater revisionist forum indian nationalism and the axis : the following link is to a le ...,not_hate
5614,"  "" leadership by example "" "" #integrity #compassion #honesty """,not_hate
